SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3,DIA4,HORA4
SIGLA,GR,MATERIA,DOCENTE,DIA1,HORA1,DIA2,HORA2,DIA3,HORA3
ADM100,SA,ADMINISTRACION,FLORES FLORES MARCOS OSCAR,Lun,18:15-19:45,Mie,18:15-19:45,Vie,18:15-19:45
ADM100,SB,ADMINISTRACION,FLORES FLORES MARCOS OSCAR,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
ADM100,SC,ADMINISTRACION,CABELLO MERIDA JUAN RUBEN,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
MAT103,SD,ALGEBRA LINEAL,CORTEZ UZEDA JULIO MARTIN,Lun,11:30-13:00,Mie,11:30-13:00,Vie,11:30-13:00
MAT103,SE,ALGEBRA LINEAL,GUTIERREZ BRUNO KATIME ESTHER,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
MAT103,SF,ALGEBRA LINEAL,GIANELLA PEREDO EDUARDO,Lun,07:00-09:15,Mie,07:00-09:15,,
MAT103,SA,ALGEBRA LINEAL,CORTEZ UZEDA JULIO MARTIN,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
MAT103,SB,ALGEBRA LINEAL,CORTEZ UZEDA JULIO MARTIN,Lun,10:00-11:30,Mie,10:00-11:30,Vie,10:00-11:30
MAT103,SC,ALGEBRA LINEAL,CORTEZ UZEDA JULIO MARTIN,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
MAT103,MV,ALGEBRA LINEAL,HIGUERAS HUANCA LUIS ENRIQUE,Mar,Virtual,,,
RDS210,SA,ANALISIS DE CIRCUITOS,MONRROY DIPP VICTOR FERNANDO,Mar,07:00-09:15,Jue,07:00-09:15,,
RDS210,SB,ANALISIS DE CIRCUITOS,MONRROY DIPP VICTOR FERNANDO,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
RDS220,SZ,ANALISIS DE CIRCUITOS ELECTRONICOS,MONRROY DIPP VICTOR FERNANDO,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
RDS410,SA,APLICACIONES CON MICROPROCESADORES,CARVAJAL CORDERO MARCIO,Lun,16:00-18:15,Mie,16:00-18:15,,
INF211,SA,ARQUITECTURA DE COMPUTADORES,HINOJOSA SAAVEDRA JOSE SAID,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
INF211,SB,ARQUITECTURA DE COMPUTADORES,HINOJOSA SAAVEDRA JOSE SAID,Lun,18:15-20:30,Mie,18:15-20:30,,
INF111,SI,ARQUITECTURA DE COMPUTADORES,HINOJOSA SAAVEDRA JOSE SAID,Lun,16:00-17:30,Mie,16:00-17:30,Vie,16:00-17:30
INF211,SC,ARQUITECTURA DE COMPUTADORES,HINOJOSA SAAVEDRA JOSE SAID,Lun,16:00-17:30,Mie,16:00-17:30,Vie,16:00-17:30
INF552,SA,ARQUITECTURA DE SOFTWARE,VEIZAGA GONZALES JOSUE OBED,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
INF462,SA,AUDITORIA INFORMATICA,AGUILAR VERDUGUEZ EDWIN,Lun,16:45-18:15,Mie,16:45-18:15,Vie,16:45-18:15
INF312,SA,BASE DE DATOS I,VEIZAGA GONZALES JOSUE OBED,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
INF312,SC,BASE DE DATOS I,VEIZAGA GONZALES JOSUE OBED,Mar,07:00-09:15,Jue,07:00-09:15,,
INF322,SB,BASE DE DATOS II,PEREZ FERREIRA UBALDO,Jue,10:45-13:00,Vie,10:45-13:00,,
INF322,SD,BASE DE DATOS II,PEREZ FERREIRA UBALDO,Lun,18:15-20:30,Mie,18:15-20:30,,
MAT101,Z5,CALCULO I,ACOSTA CABEZAS BARTOLO JAVIER,Lun,19:45-21:15,Mie,19:45-21:15,Vie,19:45-21:15
MAT101,Z6,CALCULO I,CARREÑO PEREIRA ANDRES,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
MAT101,MV,CALCULO I,RODRIGUEZ LOPEZ ALAN,Mar,Virtual,,,
MAT101,CI,CALCULO I,TEJERINA GUERRA JULIO,Lun,07:00-09:15,Vie,07:00-09:15,,
MAT101,SF,CALCULO I,MORALES MENDEZ MAGALY,Lun,07:00-09:15,Mie,07:00-09:15,,
MAT101,SP,CALCULO I,DURAN CESPEDES BERTHY RONALD,Lun,07:00-09:15,Vie,07:00-09:15,,
MAT101,Z1,CALCULO I,SILES MUÑOZ FELIX,Lun,09:15-11:30,Mie,09:15-11:30,,
MAT101,Z2,CALCULO I,ABARCA SOTA NANCY,Lun,09:15-11:30,Vie,09:15-11:30,,
MAT101,Z3,CALCULO I,MIRANDA CARRASCO CARLOS,Lun,16:00-18:15,Vie,16:00-18:15,,
MAT101,Z4,CALCULO I,VALDELOMAR ORELLANA TOMAS,Lun,13:45-16:00,Vie,13:45-16:00,,
MAT101,F1,CALCULO I,AVENDAÑO GONZALES EUDAL,Lun,18:15-20:30,Vie,18:15-20:30,,
MAT101,SG,CALCULO I,CALIZAYA AJHUACHO JONNY FIDEL,Lun,16:00-18:15,Vie,16:00-18:15,,
MAT101,12,CALCULO I,JUSTINIANO ROCA RONALD,Lun,07:00-08:30,Mie,07:00-08:30,Vie,07:00-08:30
MAT101,R1,CALCULO I,OROPEZA CLAURE GUSTAVO ADOLFO,Lun,18:15-19:45,Mie,18:15-19:45,Vie,18:15-19:45
MAT102,C1,CALCULO II,MORALES MENDEZ MAGALY,Mie,09:15-11:30,Vie,07:00-09:15,,
MAT102,SB,CALCULO II,LAZO ARTEAGA CARLOS ROBERTO,Lun,20:30-22:00,Mie,20:30-22:00,Vie,20:30-22:00
MAT102,SH,CALCULO II,VELASCO GUAMAN ANGEL,Lun,09:15-11:30,Vie,09:15-11:30,,
MAT102,SN,CALCULO II,CALIZAYA AJHUACHO JONNY FIDEL,Lun,18:15-20:30,Vie,18:15-20:30,,
MAT102,R2,CALCULO II,CANO CESPEDES EVER,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
MAT102,SD,CÁLCULO II,CARREÑO PEREIRA ANDRES,Lun,07:00-08:30,Vie,07:00-08:30,Sab,07:00-08:30
MAT102,R1,CÁLCULO II,GUARACHI SOLANO JONATHAN FELIX,Lun,16:00-18:15,Vie,16:00-18:15,,
INF329,SA,COMPILADORES,BARROSO VIRUEZ GINO,Lun,11:30-13:00,Mie,11:30-13:00,Vie,11:30-13:00
ADM200,SB,CONTABILIDAD,OROSCO GOMEZ RUBEN,Lun,16:00-17:30,Mie,16:00-17:30,Vie,16:00-17:30
ADM200,SA,CONTABILIDAD,FLORES FLORES MARCOS OSCAR,Lun,08:30-10:00,Mie,08:30-10:00,Vie,08:30-10:00
ELC002,SA,COSTOS Y PRESUPUESTOS,CHAHIN AVICHACRA JUAN MANUEL,Lun,15:15-16:45,Vie,15:15-16:45,,
ELC107,SA,CRIPTOGRAFIA Y SEGURIDAD,PEREZ DELGADILLO SHIRLEY EULALIA,Lun,16:00-17:30,Vie,16:00-17:30,,
ROB203,W1,DINAMICA,SALVATIERRA MERCADO ROLANDO,Lun,17:30-19:00,Mie,17:30-19:00,Vie,17:30-19:00
ELC201,SA,DISEÑO DE CIRCUITOS INTEGRADOS,HINOJOSA SAAVEDRA JOSE SAID,Lun,07:00-08:30,Vie,07:00-08:30,,
ECO300,SA,ECONOMIA PARA LA GESTION,TERRAZAS SOTO RICARDO,Lun,16:45-18:15,Mie,16:45-18:15,Vie,16:45-18:15
ECO300,SB,ECONOMIA PARA LA GESTION,TERRAZAS SOTO RICARDO,Lun,11:30-13:00,Mie,11:30-13:00,Vie,11:30-13:00
MAT207,NW,ECUACIONES DIFERENCIALES,MIRANDA CARRASCO CARLOS,Lun,09:15-11:30,Vie,09:15-11:30,,
MAT207,NX,ECUACIONES DIFERENCIALES,GRAGEDA ESCUDERO MARIO WILSON,Lun,18:15-20:30,Vie,18:15-20:30,,
